20394
24
45533600
3106798000
 0 1 1 558 649  30 (D 0,1,1) (S 1,1,2) (S 2,2,3) (S 89,3,2) (S 3,2,4) (S 90,4,2) (S 88,2,1) (S 1,1,2) (S 3,2,4) (S 4,4,5) (S 6,5,7) (S 7,7,8) (S 8,8,9) (S 9,9,10) (S 137,48,47) (S 51,47,49) (S 52,49,50) (S 54,50,52) (S 141,52,50) (S 139,50,49) (S 138,49,47) (S 136,47,46) (S 135,46,44) (S 87,44,59) (S 74,59,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 2 586 624  33 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 4,4,5) (S 5,5,6) (S 92,6,5) (S 6,5,7) (S 93,7,5) (S 6,5,7) (S 7,7,8) (S 94,8,7) (S 7,7,8) (S 8,8,9) (S 9,9,10) (S 96,10,9) (S 95,9,8) (S 8,8,9) (S 9,9,10) (S 10,11,12) (S 170,76,20) (S 83,20,76) (S 97,12,11) (S 96,10,9) (S 95,9,8) (S 94,8,7) (S 93,7,5) (S 91,5,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 3 764 764  34 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 161,69,59) (S 74,59,69) (S 160,69,58) (S 63,58,59) (S 150,59,58) (S 65,58,60) (S 67,60,62) (S 68,62,63) (S 69,63,64) (S 156,64,63) (S 155,63,62) (S 154,62,60) (S 152,60,58) (S 63,58,59) (S 174,59,44) (S 48,44,46) (S 49,46,47) (S 51,47,49) (S 52,49,50) (S 54,50,52) (S 141,52,50) (S 139,50,49) (S 138,49,47) (S 136,47,46) (S 135,46,44) (S 87,44,59) (S 74,59,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 4 702 702  31 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 4,4,5) (S 91,5,4) (S 75,4,69) (S 161,69,59) (S 174,59,44) (S 46,44,45) (S 47,45,46) (S 134,46,45) (S 133,45,44) (S 48,44,46) (S 135,46,44) (S 87,44,59) (S 174,59,44) (S 48,44,46) (S 49,46,47) (S 51,47,49) (S 53,49,51) (S 173,51,21) (S 86,21,51) (S 140,51,49) (S 138,49,47) (S 136,47,46) (S 135,46,44) (S 87,44,59) (S 74,59,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 5 704 704  21 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 160,69,58) (S 73,58,69) (S 160,69,58) (S 65,58,60) (S 67,60,62) (S 71,62,66) (S 158,66,62) (S 154,62,60) (S 152,60,58) (S 149,58,57) (S 148,57,42) (S 61,42,57) (S 62,57,58) (S 73,58,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 6 734 734  41 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 162,69,4) (S 75,4,69) (S 161,69,59) (S 174,59,44) (S 48,44,46) (S 49,46,47) (S 51,47,49) (S 52,49,50) (S 54,50,52) (S 56,52,53) (S 142,53,51) (S 55,51,53) (S 143,53,52) (S 57,52,54) (S 144,54,52) (S 141,52,50) (S 139,50,49) (S 138,49,47) (S 50,47,48) (S 137,48,47) (S 51,47,49) (S 53,49,51) (S 173,51,21) (S 21,21,22) (S 23,22,24) (S 110,24,22) (S 108,22,21) (S 86,21,51) (S 140,51,49) (S 138,49,47) (S 136,47,46) (S 135,46,44) (S 87,44,59) (S 74,59,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 7 599 606  24 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 161,69,59) (S 151,59,11) (S 10,11,12) (S 170,76,20) (S 83,20,76) (S 170,76,20) (S 106,20,18) (S 19,18,20) (S 105,20,19) (S 59,19,50) (S 139,50,49) (S 138,49,47) (S 136,47,46) (S 135,46,44) (S 87,44,59) (S 74,59,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 8 732 744  41 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 161,69,59) (S 174,59,44) (S 48,44,46) (S 49,46,47) (S 51,47,49) (S 53,49,51) (S 140,51,49) (S 53,49,51) (S 173,51,21) (S 21,21,22) (S 23,22,24) (S 110,24,22) (S 108,22,21) (S 86,21,51) (S 55,51,53) (S 145,53,24) (S 58,24,53) (S 143,53,52) (S 141,52,50) (S 146,50,19) (S 18,19,20) (S 83,20,76) (S 85,76,77) (S 101,77,13) (S 13,13,14) (S 100,14,13) (S 12,13,16) (S 98,16,12) (S 97,12,11) (S 96,10,9) (S 95,9,8) (S 94,8,7) (S 93,7,5) (S 91,5,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 9 622 622  21 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 160,69,58) (S 65,58,60) (S 66,60,61) (S 153,61,60) (S 67,60,62) (S 68,62,63) (S 69,63,64) (S 156,64,63) (S 70,63,65) (S 157,65,63) (S 155,63,62) (S 154,62,60) (S 152,60,58) (S 73,58,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 10 633 678  29 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 160,69,58) (S 149,58,57) (S 148,57,42) (S 61,42,57) (S 148,57,42) (S 129,40,39) (S 42,39,40) (S 129,40,39) (S 130,39,35) (S 43,35,39) (S 128,39,37) (S 40,37,38) (S 127,38,37) (S 41,37,39) (S 130,39,35) (S 44,35,41) (S 61,42,57) (S 62,57,58) (S 73,58,69) (S 162,69,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 11 930 1030  39 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 161,69,59) (S 174,59,44) (S 132,44,43) (S 147,56,55) (S 60,55,56) (S 131,41,35) (S 43,35,39) (S 128,39,37) (S 126,37,33) (S 122,33,32) (S 121,32,31) (S 120,31,23) (S 82,23,75) (S 109,75,22) (S 108,22,21) (S 107,21,19) (S 104,19,18) (S 103,18,15) (S 100,14,13) (S 12,13,16) (S 98,16,12) (S 97,12,11) (S 96,10,9) (S 95,9,8) (S 94,8,7) (S 93,7,5) (S 91,5,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 12 1029 1048  41 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 75,4,69) (S 161,69,59) (S 174,59,44) (S 48,44,46) (S 49,46,47) (S 136,47,46) (S 49,46,47) (S 51,47,49) (S 53,49,51) (S 173,51,21) (S 107,21,19) (S 20,19,21) (S 21,21,22) (S 22,22,75) (S 112,75,25) (S 25,25,75) (S 169,75,23) (S 82,23,75) (S 109,75,22) (S 108,22,21) (S 107,21,19) (S 104,19,18) (S 81,18,72) (S 79,72,73) (S 166,73,72) (S 168,72,18) (S 19,18,20) (S 83,20,76) (S 97,12,11) (S 96,10,9) (S 95,9,8) (S 94,8,7) (S 93,7,5) (S 91,5,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 13 682 720  33 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 4,4,5) (S 6,5,7) (S 7,7,8) (S 8,8,9) (S 9,9,10) (S 10,11,12) (S 11,12,16) (S 99,16,13) (S 14,13,77) (S 171,77,15) (S 84,15,77) (S 101,77,13) (S 12,13,16) (S 98,16,12) (S 97,12,11) (S 10,11,12) (S 85,76,77) (S 172,77,76) (S 97,12,11) (S 96,10,9) (S 95,9,8) (S 94,8,7) (S 93,7,5) (S 91,5,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
 0 1 14 1277 1308  53 (D 0,1,1) (S 1,1,2) (S 3,2,4) (S 4,4,5) (S 6,5,7) (S 7,7,8) (S 8,8,9) (S 9,9,10) (S 64,11,59) (S 150,59,58) (S 65,58,60) (S 67,60,62) (S 71,62,66) (S 72,66,68) (S 159,68,66) (S 158,66,62) (S 154,62,60) (S 152,60,58) (S 63,58,59) (S 174,59,44) (S 48,44,46) (S 49,46,47) (S 51,47,49) (S 53,49,51) (S 173,51,21) (S 21,21,22) (S 23,22,24) (S 24,24,25) (S 26,25,26) (S 113,26,25) (S 111,25,24) (S 110,24,22) (S 108,22,21) (S 107,21,19) (S 104,19,18) (S 81,18,72) (S 79,72,73) (S 165,73,71) (S 77,71,72) (S 168,72,18) (S 19,18,20) (S 83,20,76) (S 97,12,11) (S 96,10,9) (S 95,9,8) (S 94,8,7) (S 93,7,5) (S 91,5,4) (S 90,4,2) (S 88,2,1) (D 0,1,1) 
